timestamp,CPU_use,RAM_filled,Net_bytes_sent,Net_bytes_received,Disk_IO_percentage
11:26:55,5.7,3052171264,885293151,3580832,0.01669334812752676
11:26:56,5.5,3051458560,885293151,3580832,0.01671549501447614
11:26:57,5.2,3052187648,885293151,3580832,0.016737641842508432
11:26:58,7.3,3054456832,885293151,3580832,0.016757856783166467
11:26:59,5.6,3054456832,885293151,3580832,0.01680216366648481
11:27:00,5.9,3054444544,885293151,3580832,0.01682430773321325
11:27:01,10.1,3037773824,885293151,3580832,0.016846451741039225
11:27:02,9.9,3037335552,885293151,3580832,0.01686859568996297
11:27:03,7.7,3034021888,885293151,3580832,0.016890443804723196
11:27:04,5.9,3034075136,885293151,3580832,0.016912471035592385
11:27:05,5.7,3035635712,885293151,3580832,0.01693461051476395
11:27:06,6.0,3036057600,885293151,3580832,0.016956753683813178
11:27:07,5.3,3036053504,885293151,3580832,0.016978896793964245
11:27:08,6.3,3037749248,885293151,3580832,0.016999717243946885
11:27:09,5.2,3036946432,885293151,3580832,0.0170438637353068
11:27:10,5.2,3037134848,885293151,3580832,0.01706600471254448
11:27:11,4.8,3037134848,885293151,3580832,0.01708814563089528
11:27:12,5.3,3037716480,885293151,3580832,0.017110282698107625
11:27:13,5.3,3035975680,885293151,3580832,0.017131926081168872
11:27:14,4.7,3035873280,885293151,3580832,0.01715406617579959
11:27:15,4.8,3035869184,885293151,3580832,0.017176206211547806
11:27:16,4.7,3035865088,885293151,3580832,0.017198346188413757
11:27:17,5.6,3035611136,885293151,3580832,0.017220482289858726
11:27:18,6.2,3035017216,885293151,3580832,0.01724120450644753
11:27:19,5.3,3034501120,885293151,3580832,0.017285495723917393
11:27:20,5.2,3034820608,885293151,3580832,0.017307633602715238
11:27:21,5.3,3034816512,885293151,3580832,0.017329771422641825
11:27:22,5.8,3034816512,885293151,3580832,0.017351909183697382
11:27:23,5.9,3035824128,885293151,3580832,0.017373627221681665
11:27:24,6.1,3035869184,885293151,3580832,0.01739576433082733
11:27:25,6.6,3037356032,885293151,3580832,0.01741790138110551
11:27:26,6.2,3040440320,885293151,3580832,0.01743983354376919
11:27:27,6.5,3040952320,885293151,3580832,0.017461970216593247
11:27:28,6.5,3042177024,885293151,3580832,0.017484106830551915
11:27:29,6.2,3034427392,885293151,3580832,0.017506243385645423
11:27:30,5.2,3033624576,885293151,3580832,0.017528379881874008
11:27:31,6.2,3032907776,885293151,3580832,0.0175504074237337
11:27:32,6.3,3033206784,885293151,3580832,0.01757254366502876
11:27:33,6.7,3034673152,885293151,3580832,0.017593081443171107
11:27:34,5.5,3034333184,885293151,3580832,0.01763736133774068
11:27:36,5.8,3033509888,885293151,3581047,0.017659092330409153
11:27:37,5.1,3037896704,885293151,3581262,0.01768121794344503
11:27:38,5.0,3037958144,885293151,3581477,0.017703343478043396
11:27:39,5.6,3039506432,885293151,3581692,0.017725468934204666
11:27:40,4.8,3039727616,885293151,3581692,0.017769747171616262
11:27:41,4.8,3039977472,885293151,3581762,0.01779175416448632
11:27:42,4.9,3040034816,885293151,3581762,0.017836027856773594
11:27:43,5.3,3035631616,885293151,3581977,0.01785771752779841
11:27:44,5.5,3036844032,885293151,3582192,0.01787935852982488
11:27:45,5.3,3037585408,885293151,3582407,0.017901331428141303
11:27:46,5.6,3038355456,885293151,3582622,0.017923450802647685
11:27:47,5.3,3038351360,885293151,3582622,0.017945570088944117
11:27:48,5.7,3038306304,885293151,3582622,0.017967689287031123
11:27:49,5.7,3036446720,885293151,3582622,0.01798980839690923
11:27:50,6.1,3037052928,885293151,3582622,0.018010107923854903
11:27:51,5.6,3035955200,885293151,3582622,0.01805437323717183
11:27:52,6.1,3035951104,885293151,3582622,0.018076489802650034
11:27:53,6.0,3036016640,885293151,3582622,0.018098606279939474
11:27:54,6.5,3035709440,885293151,3582837,0.01812053801826774
11:27:55,6.9,3035705344,885293151,3583052,0.018142654094183967
11:27:56,6.3,3035705344,885293151,3583267,0.018164770081914805
11:27:57,5.9,3035185152,885293151,3583482,0.018186885981460784
11:27:58,6.1,3035181056,885293151,3583482,0.018209001792822428
11:27:59,8.5,3035435008,885293151,3583482,0.01823092770556631
11:28:00,5.5,3035156480,885293151,3583482,0.018252913723804286
11:28:01,5.2,3035410432,885293151,3583482,0.01827502888423694
11:28:02,5.5,3034710016,885293151,3583482,0.018297143956490455
11:28:03,6.2,3035627520,885293151,3583482,0.018319258940565356
11:28:04,5.6,3034439680,885293151,3583482,0.018341373836462175
11:28:05,5.3,3035111424,885293151,3583482,0.01836337881518439
11:28:06,4.8,3034882048,885293151,3583482,0.018385493402681346
11:28:07,5.3,3035713536,885293151,3583482,0.018407607902002857
11:28:08,5.2,3035971584,885293151,3583482,0.018429722313149446
11:28:09,5.1,3036033024,885293151,3583482,0.01845183663612164
11:28:10,4.6,3036192768,885293151,3583482,0.018472158674957065
11:28:11,5.3,3036508160,885293151,3583482,0.01851641130464563
11:28:12,5.1,3036696576,885293151,3583482,0.018538523167422966
11:28:13,5.8,3036692480,885293151,3583482,0.018560067649010296
