,timestamp,bufferLevel,frameRate,bitrate,resolution,calculatedBitrate,CPU_use,RAM_filled,Net_bytes_sent,Net_bytes_received,Disk_IO_percentage
94,2022-12-04 11:27:18,549.451,18,590,426x240,2782,6.2,3035017216,885293151,3580832,0.0172412045064475
95,2022-12-04 11:27:19,548.388,18,590,426x240,2782,5.3,3034501120,885293151,3580832,0.0172854957239173
96,2022-12-04 11:27:20,547.325,18,590,426x240,2782,5.2,3034820608,885293151,3580832,0.0173076336027152
97,2022-12-04 11:27:21,546.528,18,590,426x240,2782,5.3,3034816512,885293151,3580832,0.0173297714226418
98,2022-12-04 11:27:22,545.466,18,590,426x240,2782,5.8,3034816512,885293151,3580832,0.0173519091836973
99,2022-12-04 11:27:23,544.403,18,590,426x240,2782,5.9,3035824128,885293151,3580832,0.0173736272216816
100,2022-12-04 11:27:24,543.341,18,590,426x240,2782,6.1,3035869184,885293151,3580832,0.0173957643308273
101,2022-12-04 11:27:25,542.545,18,590,426x240,2782,6.6,3037356032,885293151,3580832,0.0174179013811055
102,2022-12-04 11:27:26,541.482,18,590,426x240,2782,6.2,3040440320,885293151,3580832,0.0174398335437691
103,2022-12-04 11:27:27,540.419,18,590,426x240,2782,6.5,3040952320,885293151,3580832,0.0174619702165932
104,2022-12-04 11:27:28,539.357,18,590,426x240,2782,6.5,3042177024,885293151,3580832,0.0174841068305519
105,2022-12-04 11:27:29,538.56,18,590,426x240,2782,6.2,3034427392,885293151,3580832,0.0175062433856454
106,2022-12-04 11:27:30,537.498,18,590,426x240,2782,5.2,3033624576,885293151,3580832,0.017528379881874
107,2022-12-04 11:27:31,536.435,18,590,426x240,2782,6.2,3032907776,885293151,3580832,0.0175504074237337
108,2022-12-04 11:27:32,535.373,18,590,426x240,2782,6.3,3033206784,885293151,3580832,0.0175725436650287
109,2022-12-04 11:27:33,534.576,18,590,426x240,2782,6.7,3034673152,885293151,3580832,0.0175930814431711
110,2022-12-04 11:27:34,533.513,18,590,426x240,2782,5.5,3034333184,885293151,3580832,0.0176373613377406
111,2022-12-04 11:27:36,531.389,18,590,426x240,2782,5.8,3033509888,885293151,3581047,0.0176590923304091
112,2022-12-04 11:27:37,530.326,18,590,426x240,2782,5.1,3037896704,885293151,3581262,0.017681217943445
113,2022-12-04 11:27:38,529.529,18,590,426x240,2782,5.0,3037958144,885293151,3581477,0.0177033434780433
114,2022-12-04 11:27:39,528.467,18,590,426x240,2782,5.6,3039506432,885293151,3581692,0.0177254689342046
115,2022-12-04 11:27:40,527.404,18,590,426x240,2782,4.8,3039727616,885293151,3581692,0.0177697471716162
116,2022-12-04 11:27:41,526.342,18,590,426x240,2782,4.8,3039977472,885293151,3581762,0.0177917541644863
117,2022-12-04 11:27:42,525.545,18,590,426x240,2782,4.9,3040034816,885293151,3581762,0.0178360278567735
118,2022-12-04 11:27:43,524.483,18,590,426x240,2782,5.3,3035631616,885293151,3581977,0.0178577175277984
119,2022-12-04 11:27:44,523.42,18,590,426x240,2782,5.5,3036844032,885293151,3582192,0.0178793585298248
120,2022-12-04 11:27:45,522.358,18,590,426x240,2782,5.3,3037585408,885293151,3582407,0.0179013314281413
121,2022-12-04 11:27:46,521.451,18,590,426x240,2782,5.6,3038355456,885293151,3582622,0.0179234508026476
122,2022-12-04 11:27:47,520.498,18,590,426x240,2782,5.3,3038351360,885293151,3582622,0.0179455700889441
123,2022-12-04 11:27:48,519.436,18,590,426x240,2782,5.7,3038306304,885293151,3582622,0.0179676892870311
124,2022-12-04 11:27:49,518.374,18,590,426x240,2782,5.7,3036446720,885293151,3582622,0.0179898083969092
125,2022-12-04 11:27:50,517.577,18,590,426x240,2782,6.1,3037052928,885293151,3582622,0.0180101079238549
126,2022-12-04 11:27:51,516.514,18,590,426x240,2782,5.6,3035955200,885293151,3582622,0.0180543732371718
127,2022-12-04 11:27:52,515.452,18,590,426x240,2782,6.1,3035951104,885293151,3582622,0.01807648980265
128,2022-12-04 11:27:53,514.389,18,590,426x240,2782,6.0,3036016640,885293151,3582622,0.0180986062799394
129,2022-12-04 11:27:54,513.327,18,590,426x240,2782,6.5,3035709440,885293151,3582837,0.0181205380182677
130,2022-12-04 11:27:55,512.53,18,590,426x240,2782,6.9,3035705344,885293151,3583052,0.0181426540941839
131,2022-12-04 11:27:56,511.468,18,590,426x240,2782,6.3,3035705344,885293151,3583267,0.0181647700819148
132,2022-12-04 11:27:57,510.405,18,590,426x240,2782,5.9,3035185152,885293151,3583482,0.0181868859814607
133,2022-12-04 11:27:58,509.343,18,590,426x240,2782,6.1,3035181056,885293151,3583482,0.0182090017928224
134,2022-12-04 11:27:59,508.546,18,590,426x240,2782,8.5,3035435008,885293151,3583482,0.0182309277055663
135,2022-12-04 11:28:00,507.484,18,590,426x240,2782,5.5,3035156480,885293151,3583482,0.0182529137238042
136,2022-12-04 11:28:01,506.421,18,590,426x240,2782,5.2,3035410432,885293151,3583482,0.0182750288842369
137,2022-12-04 11:28:02,505.359,18,590,426x240,2782,5.5,3034710016,885293151,3583482,0.0182971439564904
138,2022-12-04 11:28:03,504.562,18,590,426x240,2782,6.2,3035627520,885293151,3583482,0.0183192589405653
139,2022-12-04 11:28:04,503.499,18,590,426x240,2782,5.6,3034439680,885293151,3583482,0.0183413738364621
140,2022-12-04 11:28:05,502.437,18,590,426x240,2782,5.3,3035111424,885293151,3583482,0.0183633788151843
141,2022-12-04 11:28:06,501.374,18,590,426x240,2782,4.8,3034882048,885293151,3583482,0.0183854934026813
142,2022-12-04 11:28:07,500.577,18,590,426x240,2782,5.3,3035713536,885293151,3583482,0.0184076079020028
143,2022-12-04 11:28:08,499.515,18,590,426x240,2782,5.2,3035971584,885293151,3583482,0.0184297223131494
144,2022-12-04 11:28:09,498.452,18,590,426x240,2782,5.1,3036033024,885293151,3583482,0.0184518366361216
145,2022-12-04 11:28:10,497.391,18,590,426x240,2782,4.6,3036192768,885293151,3583482,0.018472158674957
146,2022-12-04 11:28:11,496.328,18,590,426x240,2782,5.3,3036508160,885293151,3583482,0.0185164113046456
147,2022-12-04 11:28:12,495.531,18,590,426x240,2782,5.1,3036696576,885293151,3583482,0.0185385231674229
