Time,CPU_use,RAM_filled,Net_bytes_sent,Net_bytes_received,Disk_IO_percentage
18:11:22,0.8,1811009536,1715181417,10601023417,0.0008673338797743284
18:11:23,1.5,1810276352,1715181417,10601023417,0.0008673336648406505
18:11:24,1.4,1810288640,1715181417,10601023417,0.0008797241457669455
18:11:25,1.1,1810276352,1715181417,10601023417,0.0008797239277628946
18:11:26,0.9,1817513984,1715181417,10601023417,0.0008921144056187099
18:11:27,1.2,1817915392,1715181757,10601023567,0.0008921123054161346
18:11:28,0.7,1817915392,1715181843,10601023633,0.0009045027541024699
18:11:29,1.1,1818689536,1715181843,10601023633,0.0009045025299586261
18:11:30,1.0,1818685440,1715182235,10601034365,0.0009168929755744977
18:11:31,1.2,1818685440,1715182235,10601034566,0.0009168927483603031
18:11:32,0.9,1818685440,1715182301,10601034566,0.0009292810032071654
18:11:33,1.4,1818677248,1715182429,10601034626,0.0009292807729237072
18:11:34,1.4,1818677248,1715182922,10601035083,0.0009416711832293566
18:11:35,1.2,1818673152,1715183094,10601035547,0.0009416709498755679
18:11:36,0.9,1818673152,1715183094,10601035666,0.0009540613571107727
18:11:37,1.1,1818660864,1715183094,10601035820,0.0009540591110863992
18:11:38,1.0,1819164672,1715183180,10601035989,0.0009664467349851581
18:11:39,1.0,1819164672,1715183180,10601036380,0.0009664464954930913
18:11:40,0.9,1819164672,1715183180,10601036483,0.0009788368351789003
18:11:41,0.9,1819389952,1715183180,10601037586,0.0009788365926165427
18:11:42,0.8,1819389952,1715183180,10601037917,0.0009912269292319418
18:11:43,1.1,1819389952,1715183180,10601038444,0.0009912266835992965
18:11:44,0.9,1819377664,1715184571,10601039128,0.0010036136596651294
18:11:45,1.5,1819373568,1715185808,10601039970,0.0010036134109638632
18:11:46,0.8,1819631616,1715185808,10601040137,0.0010160036999881084
18:11:47,2.0,1819652096,1715185808,10601040545,0.001016003448216581
18:11:48,1.4,1815822336,1715185894,10601040778,0.0010283937341704417
18:11:49,5.1,1809936384,1715185894,10601041186,0.0010283913131785775
18:11:50,0.9,1809932288,1715185894,10601041353,0.0010407815699638617
18:11:51,1.1,1810186240,1715185894,10601041674,0.0010407617111943867
18:11:52,0.7,1810186240,1715185894,10601041674,0.0010531517315657483
18:11:53,2.4,1812209664,1715185894,10601042162,0.0010531514705943846
18:11:54,5.4,1812815872,1715186251,10601042552,0.0010655384514263301
18:11:55,4.5,1819058176,1715186251,10601044071,0.001065538187386351
18:11:56,14.1,1966174208,1715188683,10601045809,0.0010778742127607855
18:11:57,46.5,2237296640,1715226264,10601128746,0.001077846970941834
18:11:58,9.1,2239733760,1715232438,10601141724,0.0010901682157430511
18:11:59,7.4,2230030336,1715243765,10601168570,0.0010901412058045685
18:12:00,6.0,2234171392,1715244580,10601168570,0.0011025291740523475
18:12:01,11.6,1846788096,1715247028,10601169594,0.0011024558349534428
18:12:02,4.5,1843699712,1715247290,10601169766,0.0011148428410692123
18:12:03,7.5,1839837184,1715247290,10601171539,0.0011148250268185097
18:12:04,22.5,1995309056,1715247290,10601171539,0.0011271724584699656
18:12:05,46.3,2213994496,1715250544,10601180550,0.0011270625903372403
18:12:06,68.3,2396360704,1715258372,10601205290,0.0011389271015781537
18:12:07,12.6,2425606144,1715263673,10601229620,0.001138919205907153
18:12:08,15.7,2438529024,1715386941,10601485432,0.0011636783190790477
18:12:09,5.1,2463502336,1716066627,10601758733,0.0011636421615903447
18:12:10,1.8,2462982144,1716068128,10601760779,0.001176021333522157
18:12:11,1.6,2464378880,1716077761,10601767551,0.0011760210423588234
18:12:12,2.4,2462388224,1716077761,10601767551,0.0011884002112257583
18:12:13,7.4,2430840832,1716077761,10601768126,0.001188396680498593
18:12:14,8.8,2382401536,1716077823,10601768186,0.00120077581258712
18:12:15,5.8,2379546624,1716077823,10601768821,0.0012007636237696853
18:12:16,6.7,2339061760,1716078148,10601769095,0.0012130402194934387
18:12:17,3.4,2340352000,1716078957,10601770373,0.0012254171191452333
18:12:18,8.0,2338189312,1716087419,10601771966,0.001250141298458022
18:12:19,4.1,2337693696,1716087505,10601772520,0.001250140834244353
18:12:20,4.3,2337071104,1716087505,10601772520,0.0012625184662665742
18:12:21,7.3,2325098496,1716087571,10601773255,0.0012625179974570782
18:12:22,6.0,2314326016,1716087571,10601773255,0.0012748956248831282
18:12:23,2.5,2311999488,1716087571,10601773830,0.0012748951514778123
18:12:24,4.2,2295930880,1716087571,10601773830,0.0012872687909758
18:12:25,5.8,2301968384,1716087571,10601774405,0.001287268153644985
18:12:26,5.9,2301538304,1716087960,10601774560,0.0012996457320454174
18:12:27,4.0,2301415424,1716087960,10601775657,0.0012996441234007145
18:12:28,3.0,2293309440,1716088130,10601775807,0.0013120216864807212
18:12:29,7.4,2250178560,1716088386,10601776508,0.0013120158402395443
18:12:30,2.4,2251120640,1716088778,10601787180,0.0013243933481663327
18:12:31,1.6,2250862592,1716088778,10601787750,0.0013243928563858403
18:12:32,1.1,2246242304,1716088778,10601787750,0.001336770359716549
18:12:33,4.2,2249166848,1716090355,10601788641,0.0013367698633403458
18:12:34,6.0,2247634944,1716090981,10601789227,0.0013491438552794429
18:12:35,6.1,2247139328,1716091047,10601789227,0.001349115801571429
18:12:36,3.4,2252226560,1716092182,10601790534,0.0013614930107601578
18:12:37,4.8,2243543040,1716094746,10601796322,0.0013612985724092812
18:12:38,6.6,2242764800,1716094925,10601797515,0.001373674013976638
18:12:39,7.1,2242002944,1716095011,10601797748,0.0013736735039821526
18:12:40,5.4,2239381504,1716096821,10601803260,0.0013860489409549647
